start time, request type, latency, response code
2023-02-04 16:32:29, POST, 59, 200, 
2023-02-04 16:32:29, POST, 59, 200, 
2023-02-04 16:32:29, POST, 33, 200, 
2023-02-04 16:32:29, POST, 33, 200, 
2023-02-04 16:32:29, POST, 34, 200, 
2023-02-04 16:32:29, POST, 34, 200, 
2023-02-04 16:32:29, POST, 33, 200, 
2023-02-04 16:32:29, POST, 30, 200, 
2023-02-04 16:32:29, POST, 30, 200, 
2023-02-04 16:32:29, POST, 30, 200, 
2023-02-04 16:32:29, POST, 30, 200, 
2023-02-04 16:32:29, POST, 31, 200, 
2023-02-04 16:32:29, POST, 48, 200, 
2023-02-04 16:32:29, POST, 48, 200, 
2023-02-04 16:32:29, POST, 48, 200, 
2023-02-04 16:32:29, POST, 48, 200, 
2023-02-04 16:32:29, POST, 48, 200, 
2023-02-04 16:32:30, POST, 199, 200, 
2023-02-04 16:32:30, POST, 202, 200, 
2023-02-04 16:32:30, POST, 174, 200, 
2023-02-04 16:32:30, POST, 202, 200, 
2023-02-04 16:32:30, POST, 174, 200, 
2023-02-04 16:32:30, POST, 174, 200, 
2023-02-04 16:32:30, POST, 202, 200, 
2023-02-04 16:32:30, POST, 202, 200, 
2023-02-04 16:32:30, POST, 174, 200, 
2023-02-04 16:32:30, POST, 174, 200, 
2023-02-04 16:32:30, POST, 51, 200, 
2023-02-04 16:32:30, POST, 49, 200, 
2023-02-04 16:32:30, POST, 49, 200, 
2023-02-04 16:32:30, POST, 49, 200, 
2023-02-04 16:32:30, POST, 49, 200, 
2023-02-04 16:32:30, POST, 49, 200, 
2023-02-04 16:32:30, POST, 78, 200, 
2023-02-04 16:32:30, POST, 78, 200, 
2023-02-04 16:32:30, POST, 78, 200, 
2023-02-04 16:32:30, POST, 28, 200, 
2023-02-04 16:32:30, POST, 78, 200, 
2023-02-04 16:32:30, POST, 29, 200, 
2023-02-04 16:32:30, POST, 29, 200, 
2023-02-04 16:32:30, POST, 29, 200, 
2023-02-04 16:32:30, POST, 29, 200, 
2023-02-04 16:32:30, POST, 29, 200, 
2023-02-04 16:32:30, POST, 56, 200, 
2023-02-04 16:32:30, POST, 55, 200, 
2023-02-04 16:32:30, POST, 56, 200, 
2023-02-04 16:32:30, POST, 56, 200, 
2023-02-04 16:32:30, POST, 56, 200, 
2023-02-04 16:32:30, POST, 55, 200, 
2023-02-04 16:32:30, POST, 56, 200, 
2023-02-04 16:32:30, POST, 55, 200, 
2023-02-04 16:32:30, POST, 59, 200, 
2023-02-04 16:32:30, POST, 92, 200, 
2023-02-04 16:32:30, POST, 37, 200, 
2023-02-04 16:32:30, POST, 37, 200, 
2023-02-04 16:32:30, POST, 37, 200, 
2023-02-04 16:32:30, POST, 37, 200, 
2023-02-04 16:32:30, POST, 39, 200, 
2023-02-04 16:32:30, POST, 35, 200, 
2023-02-04 16:32:30, POST, 69, 200, 
2023-02-04 16:32:30, POST, 33, 200, 
2023-02-04 16:32:30, POST, 33, 200, 
2023-02-04 16:32:30, POST, 33, 200, 
2023-02-04 16:32:30, POST, 69, 200, 
2023-02-04 16:32:30, POST, 70, 200, 
2023-02-04 16:32:30, POST, 42, 200, 
2023-02-04 16:32:30, POST, 42, 200, 
2023-02-04 16:32:30, POST, 44, 200, 
2023-02-04 16:32:30, POST, 44, 200, 
2023-02-04 16:32:30, POST, 52, 200, 
2023-02-04 16:32:30, POST, 52, 200, 
2023-02-04 16:32:30, POST, 51, 200, 
2023-02-04 16:32:30, POST, 51, 200, 
2023-02-04 16:32:30, POST, 51, 200, 
2023-02-04 16:32:30, POST, 42, 200, 
2023-02-04 16:32:30, POST, 51, 200, 
2023-02-04 16:32:30, POST, 42, 200, 
2023-02-04 16:32:30, POST, 43, 200, 
